Anh_sang,Tuoi_nuoc_deu,Do_am_dat,Chat_luong_dat,Phan_bon,Nhiet_do,Phat_trien_tot
Manh,Vua,31.92,Kem,Vua,38.01,Co
Yeu,It,20.33,Tot,Vua,32.66,Co
Manh,Vua,68.93,Trung binh,Nhieu,26.78,Co
Manh,It,62.41,Kem,Nhieu,26.98,Khong
Yeu,Vua,63.74,Kem,Nhieu,34.52,Co
Yeu,Nhieu,66.28,Kem,Nhieu,37.94,Khong
Manh,Nhieu,24.44,Tot,It,37.74,Co
Trung binh,It,41.51,Trung binh,Nhieu,35.6,Khong
Manh,Nhieu,26.95,Kem,Vua,32.84,Co
Manh,Nhieu,71.79,Kem,It,21.68,Khong
Manh,Vua,57.4,Kem,Vua,23.23,Co
Manh,It,39.85,Tot,Vua,37.97,Co
Yeu,Vua,23.81,Tot,Vua,32.13,Co
Manh,Vua,38.66,Trung binh,Nhieu,20.18,Khong
Trung binh,Vua,39.51,Tot,Nhieu,22.03,Khong
Yeu,Vua,63.78,Kem,It,33.27,Co
Trung binh,Vua,58.25,Trung binh,It,20.1,Khong
Trung binh,Vua,73.23,Kem,Nhieu,23.22,Khong
Trung binh,Vua,48.33,Kem,Vua,30.97,Co
Trung binh,It,27.18,Tot,It,33.84,Khong
Yeu,Nhieu,62.79,Trung binh,Nhieu,33.04,Khong
Yeu,Vua,65.65,Tot,Nhieu,24.49,Co
Trung binh,Vua,53.68,Tot,Nhieu,34.24,Co
Trung binh,Vua,66.26,Trung binh,Vua,24.74,Co
Yeu,Vua,49.63,Kem,Nhieu,26.51,Khong
Yeu,Vua,51.36,Kem,Nhieu,34.93,Co
Yeu,Vua,45.65,Trung binh,Nhieu,32.99,Khong
Manh,Nhieu,21.53,Kem,Nhieu,36.98,Khong
Manh,Nhieu,26.47,Trung binh,It,33.15,Khong
Manh,Vua,21.89,Trung binh,It,31.37,Co
Trung binh,Nhieu,58.18,Tot,Nhieu,21.87,Khong
Manh,It,38.86,Trung binh,Vua,27.35,Khong
Trung binh,Vua,50.51,Tot,It,25.3,Co
Trung binh,It,74.45,Kem,Nhieu,24.88,Khong
Manh,It,34.96,Kem,It,39.46,Khong
Trung binh,Vua,44.62,Kem,It,27.86,Khong
Manh,Nhieu,65.33,Kem,Vua,37.84,Co
Manh,It,33.73,Tot,Nhieu,32.62,Co
Yeu,Vua,24.62,Kem,Nhieu,35.9,Khong
Manh,It,37.39,Trung binh,Vua,30.05,Co
Yeu,It,29.67,Trung binh,Vua,31.54,Khong
Manh,It,75.78,Trung binh,Nhieu,29.85,Co
Manh,It,68.49,Tot,Nhieu,23.9,Co
Yeu,Nhieu,58.0,Kem,Vua,34.45,Co
Yeu,It,72.29,Kem,It,25.62,Khong
Manh,It,68.22,Kem,It,20.49,Khong
Trung binh,It,31.19,Tot,Vua,32.91,Co
Yeu,Nhieu,73.55,Trung binh,It,23.54,Khong
Trung binh,It,52.36,Trung binh,Vua,38.81,Co
Trung binh,It,68.45,Kem,It,39.08,Khong
